invoice_id,invoice_number,status,type,total,sub_total,total_tax,amount_due,amount_paid,currency_code,date_string,due_date_string,contact__contact_id,contact__name
inv_1124,INV-1124,PAID,ACCREC,168827.94,153479.95,15347.99,0.0,168827.94,USD,2025-12-24 11:00:00,2026-01-23,xero_c_2003,Apex Design
inv_1125,INV-1125,PAID,ACCREC,42344.41,38494.92,3849.49,0.0,42344.41,USD,2026-01-12 13:00:00,2026-02-11,xero_c_2001,Acme Corp
inv_1126,INV-1126,PAID,ACCREC,173092.03,157356.39,15735.64,0.0,173092.03,USD,2026-02-16 09:00:00,2026-03-18,xero_c_2003,Apex Design
inv_1127,INV-1127,PAID,ACCREC,74485.55,67714.14,6771.41,0.0,74485.55,USD,2026-03-04 10:00:00,2026-04-03,xero_c_2004,Eco Joinery Co
inv_1128,INV-1128,PAID,ACCREC,116056.84,105506.22,10550.62,0.0,116056.84,USD,2026-03-01 15:00:00,2026-03-31,xero_c_2005,Modern Office Group
inv_1129,INV-1129,PAID,ACCREC,100709.79,91554.35,9155.44,0.0,100709.79,USD,2026-02-22 16:00:00,2026-03-24,xero_c_2004,Eco Joinery Co
inv_1130,INV-1130,PAID,ACCREC,28908.06,26280.05,2628.01,0.0,28908.06,USD,2026-03-02 13:00:00,2026-04-01,xero_c_2003,Apex Design
inv_1131,INV-1131,PAID,ACCREC,25887.17,23533.79,2353.38,0.0,25887.17,USD,2026-03-22 15:00:00,2026-04-21,xero_c_2005,Modern Office Group
inv_1132,INV-1132,PAID,ACCREC,46334.26,42122.05,4212.21,0.0,46334.26,USD,2026-03-10 17:00:00,2026-04-09,xero_c_2005,Modern Office Group
inv_1133,INV-1133,PAID,ACCREC,66470.65,60427.86,6042.79,0.0,66470.65,USD,2026-04-07 11:00:00,2026-05-07,xero_c_2005,Modern Office Group
inv_1134,INV-1134,PAID,ACCREC,167884.29,152622.08,15262.21,0.0,167884.29,USD,2026-03-09 13:00:00,2026-04-08,xero_c_2005,Modern Office Group
inv_1135,INV-1135,PAID,ACCREC,91523.88,83203.53,8320.35,0.0,91523.88,USD,2026-03-12 15:00:00,2026-04-11,xero_c_2003,Apex Design
inv_1136,INV-1136,PAID,ACCREC,78780.73,71618.85,7161.88,0.0,78780.73,USD,2026-04-16 13:00:00,2026-05-16,xero_c_2005,Modern Office Group
inv_1137,INV-1137,PAID,ACCREC,163696.22,148814.75,14881.47,0.0,163696.22,USD,2026-04-21 09:00:00,2026-05-21,xero_c_2001,Acme Corp
